Modelo,Acurácia Média,Acurácia Desvio Padrão
PGN 16,"83,60%","2,13%"
PGN 32,"65,80%","1,70%"
MPNN 16,"83,10%","2,16%"
MPNN 32,"61,40%","1,60%"
