step;loss;val_acc;test_acc;timestamp
0;17.39951515197754;0.08984375;0.013671875;2024-06-05 01:09:56.593516
1;17.09600067138672;0.0546875;0.0068359375;2024-06-05 01:09:58.190936
2;16.848491668701172;0.078125;0.01171875;2024-06-05 01:09:59.733231
3;16.721378326416016;0.109375;0.015625;2024-06-05 01:10:01.267463
4;16.566020965576172;0.08984375;0.0205078125;2024-06-05 01:10:02.797309
5;16.43511962890625;0.078125;0.02001953125;2024-06-05 01:10:04.483215
6;16.341289520263672;0.0859375;0.02099609375;2024-06-05 01:10:06.033745
7;16.277738571166992;0.07421875;0.017578125;2024-06-05 01:10:07.579138
8;16.221500396728516;0.08984375;0.025390625;2024-06-05 01:10:09.128368
9;16.10306167602539;0.07421875;0.02587890625;2024-06-05 01:10:10.660950
10;15.9680757522583;0.11328125;0.02734375;2024-06-05 01:10:12.182390
11;15.8172025680542;0.06640625;0.03076171875;2024-06-05 01:10:13.859729
12;15.833822250366211;0.1328125;0.03076171875;2024-06-05 01:10:15.410297
13;15.8232421875;0.11328125;0.033203125;2024-06-05 01:10:16.954266
14;15.697415351867676;0.08984375;0.0283203125;2024-06-05 01:10:18.494435
15;15.633906364440918;0.1328125;0.02001953125;2024-06-05 01:10:20.073722
16;15.5062255859375;0.1015625;0.02685546875;2024-06-05 01:10:21.602548
17;15.601089477539062;0.12890625;0.02978515625;2024-06-05 01:10:23.306097
18;15.339783668518066;0.125;0.02392578125;2024-06-05 01:10:25.005171
19;15.186405181884766;0.1171875;0.02587890625;2024-06-05 01:10:26.580250
20;15.43173599243164;0.171875;0.02587890625;2024-06-05 01:10:28.141373
21;15.179210662841797;0.16015625;0.021484375;2024-06-05 01:10:29.724630
22;15.213863372802734;0.15234375;0.03076171875;2024-06-05 01:10:31.290327
23;15.180419921875;0.17578125;0.03759765625;2024-06-05 01:10:32.991396
24;15.193136215209961;0.140625;0.04541015625;2024-06-05 01:10:34.545671
25;15.388654708862305;0.12890625;0.03662109375;2024-06-05 01:10:36.086393
26;15.138252258300781;0.125;0.03857421875;2024-06-05 01:10:37.630327
27;15.200282096862793;0.13671875;0.04345703125;2024-06-05 01:10:39.169409
28;15.073125839233398;0.16796875;0.0478515625;2024-06-05 01:10:40.709904
29;14.99821949005127;0.17578125;0.04150390625;2024-06-05 01:10:42.259626
30;14.888029098510742;0.18359375;0.05322265625;2024-06-05 01:10:43.798895
31;14.774181365966797;0.16015625;0.0537109375;2024-06-05 01:10:45.342731
32;14.85814380645752;0.1875;0.06201171875;2024-06-05 01:10:46.873067
33;14.839799880981445;0.18359375;0.06005859375;2024-06-05 01:10:48.418427
34;14.834108352661133;0.171875;0.04833984375;2024-06-05 01:10:50.098449
35;14.919482231140137;0.20703125;0.0478515625;2024-06-05 01:10:51.636390
36;14.87403392791748;0.23828125;0.05029296875;2024-06-05 01:10:53.187792
37;14.724039077758789;0.20703125;0.05517578125;2024-06-05 01:10:54.728977
38;14.830170631408691;0.22265625;0.0703125;2024-06-05 01:10:56.280080
39;14.743692398071289;0.2265625;0.07080078125;2024-06-05 01:10:57.817548
40;14.761756896972656;0.1640625;0.07763671875;2024-06-05 01:10:59.506077
41;14.628223419189453;0.21484375;0.0810546875;2024-06-05 01:11:01.046967
42;14.60515022277832;0.203125;0.08837890625;2024-06-05 01:11:02.575539
43;14.529833793640137;0.2421875;0.07177734375;2024-06-05 01:11:04.106807
44;14.445987701416016;0.26171875;0.072265625;2024-06-05 01:11:05.652358
45;14.473737716674805;0.2265625;0.068359375;2024-06-05 01:11:07.337768
46;14.557788848876953;0.22265625;0.06689453125;2024-06-05 01:11:08.871030
47;14.62238597869873;0.27734375;0.0419921875;2024-06-05 01:11:10.401884
48;14.350729942321777;0.296875;0.04736328125;2024-06-05 01:11:11.945137
49;14.368654251098633;0.28515625;0.05615234375;2024-06-05 01:11:13.487385
50;14.408286094665527;0.27734375;0.05615234375;2024-06-05 01:11:15.016076
51;14.299707412719727;0.3203125;0.05712890625;2024-06-05 01:11:16.693845
