2024-06-11 09:32:06,034 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-11 09:32:06,035 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-11 09:32:10,774 - -----Starting Log-----
2024-06-11 09:33:18,773 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 19.4%, GPU Usage: 90.0%
2024-06-11 09:33:20,803 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.0%, Memory Usage: 19.3%, GPU Usage: 55.00000000000001%
2024-06-11 09:33:22,833 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.1%, Memory Usage: 19.4%, GPU Usage: 89.0%
2024-06-11 09:33:24,860 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.0%, Memory Usage: 19.4%, GPU Usage: 90.0%
2024-06-11 09:33:26,888 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.5%, Memory Usage: 19.3%, GPU Usage: 90.0%
2024-06-11 09:33:28,917 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.3%, GPU Usage: 89.0%
2024-06-11 09:33:30,943 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.7%, Memory Usage: 19.4%, GPU Usage: 90.0%
2024-06-11 09:33:32,973 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.4%, GPU Usage: 89.0%
2024-06-11 09:33:34,998 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 5.1%, Memory Usage: 19.4%, GPU Usage: 90.0%
2024-06-11 09:33:37,027 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.3%, Memory Usage: 19.5%, GPU Usage: 90.0%
2024-06-11 09:33:39,057 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.5%, GPU Usage: 89.0%
2024-06-11 09:33:41,089 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.5%, GPU Usage: 89.0%
2024-06-11 09:33:43,117 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.9%, Memory Usage: 19.5%, GPU Usage: 89.0%
2024-06-11 09:33:45,144 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 5.9%, Memory Usage: 19.6%, GPU Usage: 55.00000000000001%
