2024-06-13 00:26:32,195 - -----Starting Log-----
2024-06-13 00:27:42,198 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.5%, GPU Usage: 90.0%
2024-06-13 00:27:44,226 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.8%, Memory Usage: 24.5%, GPU Usage: 91.0%
2024-06-13 00:27:46,254 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 24.6%, GPU Usage: 91.0%
2024-06-13 00:27:48,281 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.6%, GPU Usage: 90.0%
2024-06-13 00:27:50,310 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 24.6%, GPU Usage: 90.0%
2024-06-13 00:27:52,337 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.0%, Memory Usage: 24.5%, GPU Usage: 91.0%
2024-06-13 00:27:54,365 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:27:56,394 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:27:58,424 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.9%, Memory Usage: 24.6%, GPU Usage: 88.0%
2024-06-13 00:28:00,454 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.6%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:28:02,481 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.7%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:28:04,510 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:28:06,536 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 24.5%, GPU Usage: 89.0%
2024-06-13 00:28:08,566 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.1%, Memory Usage: 24.4%, GPU Usage: 89.0%
2024-06-13 00:28:10,593 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 24.5%, GPU Usage: 90.0%
2024-06-13 00:28:12,623 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.5%, GPU Usage: 89.0%
2024-06-13 00:28:14,649 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.9%, Memory Usage: 24.5%, GPU Usage: 90.0%
2024-06-13 00:28:16,677 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 24.5%, GPU Usage: 90.0%
2024-06-13 00:28:18,786 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.5%, GPU Usage: 89.0%
2024-06-13 00:28:20,814 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.5%, Memory Usage: 24.5%, GPU Usage: 87.0%
2024-06-13 00:28:22,842 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.6%, GPU Usage: 90.0%
2024-06-13 00:28:24,869 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:28:26,898 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.5%, GPU Usage: 89.0%
2024-06-13 00:28:28,926 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 24.5%, GPU Usage: 89.0%
2024-06-13 00:28:30,954 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 24.5%, GPU Usage: 89.0%
2024-06-13 00:28:32,980 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:28:35,010 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:28:37,038 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 24.6%, GPU Usage: 90.0%
2024-06-13 00:28:39,068 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.9%, Memory Usage: 24.6%, GPU Usage: 89.0%
